station_complex_id,borough,routes,payment_method,latitude,longitude,ridership,transfers,region,ridership_percap,transfers_percap
N520,Manhattan,"['B', 'D']",omny,40.71826553344727,-73.9937515258789,8578,62,SW,0.0053737675197162394,3.884047402919175e-05
N523,Manhattan,['F'],metrocard,40.7234001159668,-73.98993682861328,4438,37,NW,0.0027802261893798866,2.3178992565807977e-05
N523,Manhattan,['F'],omny,40.7234001159668,-73.98993682861328,10333,125,NW,0.00647320351844578,7.830740731691885e-05
N525,Manhattan,"['F', 'M', 'J', 'Z']",metrocard,40.71861267089844,-73.98743438720703,6356,68,SW,0.003981775047250689,4.259922958040385e-05
N525,Manhattan,"['F', 'M', 'J', 'Z']",omny,40.71861267089844,-73.98743438720703,12172,114,SW,0.00762526209489229,7.141635547303e-05
N529,Manhattan,['F'],metrocard,40.713714599609375,-73.99017333984375,5032,27,SW,0.0031523429889498853,1.6914399980454473e-05
N529,Manhattan,['F'],omny,40.713714599609375,-73.99017333984375,6952,54,SW,0.0043551447653377585,3.3828799960908945e-05
N530,Brooklyn,['F'],metrocard,40.70139694213867,-73.98674774169922,4025,9,SW,0.0015537445049557694,3.4742113154290495e-06
N530,Brooklyn,['F'],omny,40.70139694213867,-73.98674774169922,6963,44,SW,0.002687881487703608,1.6985033097653132e-05
N532,Brooklyn,"['F', 'G']",metrocard,40.6861457824707,-73.99085998535156,2370,14,SW,0.0009148756463963165,5.404328712889633e-06
N532,Brooklyn,"['F', 'G']",omny,40.6861457824707,-73.99085998535156,5545,64,SW,0.002140500193783787,2.4705502687495465e-05
N535,Brooklyn,"['F', 'G']",metrocard,40.680301666259766,-73.99504852294922,2086,13,SW,0.0008052449782205553,5.0183052333975165e-06
N535,Brooklyn,"['F', 'G']",omny,40.680301666259766,-73.99504852294922,4533,21,SW,0.0017498444325377647,8.10649306933445e-06
N536,Brooklyn,"['F', 'G']",metrocard,40.67358016967773,-73.99595642089844,980,84,SW,0.0003783030099022743,3.24259722773378e-05
N536,Brooklyn,"['F', 'G']",omny,40.67358016967773,-73.99595642089844,1325,105,SW,0.0005114811103270545,4.0532465346672245e-05
N539A,Brooklyn,"['F', 'G']",metrocard,40.6662712097168,-73.98030853271484,2239,21,SW,0.0008643065705828491,8.10649306933445e-06
N539A,Brooklyn,"['F', 'G']",omny,40.6662712097168,-73.98030853271484,4714,60,SW,0.0018197146823258378,2.3161408769526997e-05
N542,Brooklyn,"['F', 'G']",metrocard,40.66036605834961,-73.9794921875,1563,142,SW,0.0006033546984461782,5.481533408788056e-05
N542,Brooklyn,"['F', 'G']",omny,40.66036605834961,-73.9794921875,2662,450,SW,0.0010275945024080144,0.0001737105657714525
N543,Brooklyn,"['F', 'G']",metrocard,40.65078353881836,-73.97577667236328,1467,7,SW,0.0005662964444149351,2.7021643564448164e-06
N543,Brooklyn,"['F', 'G']",omny,40.65078353881836,-73.97577667236328,2560,24,SW,0.0009882201074998187,9.264563507810799e-06
N546,Brooklyn,"['F', 'G']",metrocard,40.644039154052734,-73.97967529296875,2908,169,SW,0.0011225562783630752,6.523796803416772e-05
N546,Brooklyn,"['F', 'G']",omny,40.644039154052734,-73.97967529296875,2432,246,SW,0.0009388091021248277,9.496177595506069e-05
N548,Brooklyn,['F'],metrocard,40.6361198425293,-73.9781723022461,939,1,SW,0.00036247604724309754,3.8602347949211665e-07
N548,Brooklyn,['F'],omny,40.6361198425293,-73.9781723022461,998,4,SW,0.0003852514325331324,1.5440939179684666e-06
N549,Brooklyn,['F'],metrocard,40.62975311279297,-73.97697448730469,1134,56,SW,0.00043775062574406023,2.161731485155853e-05
N549,Brooklyn,['F'],omny,40.62975311279297,-73.97697448730469,937,42,SW,0.0003617040002841133,1.62129861386689e-05
N551,Brooklyn,['F'],metrocard,40.62532043457031,-73.97612762451172,531,22,SW,0.00020497846761031394,8.492516548826566e-06
N551,Brooklyn,['F'],omny,40.62532043457031,-73.97612762451172,313,29,SW,0.00012082534908103251,1.1194680905271382e-05
N553,Brooklyn,['F'],metrocard,40.62076950073242,-73.97526550292969,489,121,SW,0.00018876548147164502,4.670884101854611e-05
N553,Brooklyn,['F'],omny,40.62076950073242,-73.97526550292969,266,117,SW,0.00010268224554490302,4.516474710057765e-05
N555,Brooklyn,['F'],metrocard,40.61513900756836,-73.97419738769531,909,67,SW,0.000350895342858334,2.5863573125971814e-05
N555,Brooklyn,['F'],omny,40.61513900756836,-73.97419738769531,663,65,SW,0.0002559335669032733,2.509152616698758e-05
N556,Brooklyn,['F'],metrocard,40.60894393920898,-73.9730224609375,798,3,SW,0.0003080467366347091,1.1580704384763498e-06
N556,Brooklyn,['F'],omny,40.60894393920898,-73.9730224609375,615,4,SW,0.00023740443988765173,1.5440939179684666e-06
N557,Brooklyn,['F'],metrocard,40.60321807861328,-73.97235870361328,1339,111,SW,0.0005168854390399442,4.284860622362494e-05
N557,Brooklyn,['F'],omny,40.60321807861328,-73.97235870361328,960,177,SW,0.00037058254031243195,6.832615587010465e-05
N559,Brooklyn,['F'],metrocard,40.59606170654297,-73.97335815429688,775,109,SW,0.0002991681966063904,4.207655926464071e-05
N559,Brooklyn,['F'],omny,40.59606170654297,-73.97335815429688,517,111,SW,0.0001995741388974243,4.284860622362494e-05
N561,Brooklyn,['F'],metrocard,40.58961868286133,-73.97425079345703,712,34,SW,0.000274848717398387,1.3124798302731965e-05
N561,Brooklyn,['F'],omny,40.58961868286133,-73.97425079345703,573,31,SW,0.00022119145374898284,1.1966727864255616e-05
N562,Brooklyn,['F'],metrocard,40.58101272583008,-73.97457122802734,490,9,SW,0.00018915150495113714,3.4742113154290495e-06
N562,Brooklyn,['F'],omny,40.58101272583008,-73.97457122802734,372,16,SW,0.0001436007343710674,6.176375671873866e-06
N601,Manhattan,"['F', 'Q']",metrocard,40.76462936401367,-73.96611022949219,1895,216,NW,0.0011871402949244897,0.00013531519984363578
N601,Manhattan,"['F', 'Q']",omny,40.76462936401367,-73.96611022949219,2917,726,NW,0.0018273816571476183,0.00045480942169666465
N602,Manhattan,['F'],metrocard,40.7591438293457,-73.95326232910156,1636,71,NW,0.001024887346963834,4.44786073560099e-05
N602,Manhattan,['F'],omny,40.7591438293457,-73.95326232910156,1937,157,NW,0.0012134515837829744,9.835410359005007e-05
N603,Queens,['F'],metrocard,40.75420379638672,-73.94283294677734,822,94,NE,0.0003608382509616866,4.126374159415881e-05
N603,Queens,['F'],omny,40.75420379638672,-73.94283294677734,469,143,NE,0.0002058797319963881,6.27735643400501e-05
N604,Queens,['E'],metrocard,40.70256423950195,-73.81685638427734,1190,30,SE,0.0005223814095430743,1.3169279232178343e-05
N604,Queens,['E'],omny,40.70256423950195,-73.81685638427734,667,19,SE,0.00029279697492876517,8.340543513712952e-06
N605,Queens,"['J', 'E', 'Z']",metrocard,40.70048522949219,-73.80796813964844,8868,564,SE,0.003892838941031918,0.00024758244956495285
N605,Queens,"['J', 'E', 'Z']",omny,40.70048522949219,-73.80796813964844,6261,428,SE,0.0027484285757556205,0.00018788171704574438
N606,Queens,"['J', 'E', 'Z']",metrocard,40.7021484375,-73.80110931396484,7210,1464,SE,0.003165016775466862,0.0006426608265303032
N606,Queens,"['J', 'E', 'Z']",omny,40.7021484375,-73.80110931396484,3054,1046,SE,0.0013406326258357554,0.00045916886922861826
N700,Manhattan,['Q'],metrocard,40.768798828125,-73.95842742919922,3997,35,NW,0.002503957656365797,2.192607404873728e-05
N700,Manhattan,['Q'],omny,40.768798828125,-73.95842742919922,7196,82,NW,0.004508000824420384,5.1369659199898764e-05
N701,Manhattan,['Q'],metrocard,40.77788925170898,-73.95178985595703,4019,55,NW,0.002517739760053575,3.445525921944429e-05
N701,Manhattan,['Q'],omny,40.77788925170898,-73.95178985595703,8103,141,NW,0.005076199371911947,8.833075545348447e-05
N702,Manhattan,['Q'],metrocard,40.78431701660156,-73.94715118408203,3394,130,NW,0.0021262027234689807,8.14397036095956e-05
N702,Manhattan,['Q'],omny,40.78431701660156,-73.94715118408203,4373,146,NW,0.002739506337575089,9.146305174616122e-05
R101,Manhattan,"['1', 'R', 'W']",metrocard,40.703086853027344,-74.01299285888672,9180,622,SW,0.00575089599335452,0.00038965765880898817
R101,Manhattan,"['1', 'R', 'W']",omny,40.703086853027344,-74.01299285888672,8661,461,SW,0.005425763638174673,0.0002887977181847967
R103,Manhattan,['1'],metrocard,40.70751190185547,-74.01378631591797,1505,23,SW,0.0009428211840957029,1.4408562946313068e-05
R103,Manhattan,['1'],omny,40.70751190185547,-74.01378631591797,2712,85,SW,0.0016989575091478713,5.3249036975504816e-05
R106,Manhattan,['1'],metrocard,40.71183395385742,-74.01219177246094,3700,4,SW,0.002317899256580798,2.505837034141403e-06
R106,Manhattan,['1'],omny,40.71183395385742,-74.01219177246094,4018,26,SW,0.0025171133007950396,1.628794072191912e-05
R111,Manhattan,"['3', '2']",metrocard,40.70682144165039,-74.00910186767578,2505,8,SW,0.0015692804426310537,5.011674068282806e-06
R111,Manhattan,"['3', '2']",omny,40.70682144165039,-74.00910186767578,5006,22,SW,0.003136055048227966,1.3782103687777717e-05
R116,Manhattan,"['3', '1', '2']",metrocard,40.715476989746094,-74.00926971435547,2904,18,SW,0.0018192376867866586,1.1276266653636314e-05
R116,Manhattan,"['3', '1', '2']",omny,40.715476989746094,-74.00926971435547,4331,33,SW,0.0027131950487166044,2.0673155531666576e-05
R117,Manhattan,['1'],metrocard,40.71931838989258,-74.00688934326172,352,0,NW,0.00022051365900444347,0.0
R117,Manhattan,['1'],omny,40.71931838989258,-74.00688934326172,287,1,NW,0.00017979380719964567,6.264592585353507e-07
R119,Manhattan,['1'],metrocard,40.72285461425781,-74.00627899169922,404,0,NW,0.00025308954044828174,0.0
R119,Manhattan,['1'],omny,40.72285461425781,-74.00627899169922,404,2,NW,0.00025308954044828174,1.2529185170707015e-06
R123,Manhattan,['1'],metrocard,40.72825241088867,-74.00536346435547,872,0,NW,0.0005462724734428258,0.0
